Nom,Description,Composition,Conseils,Image,Url
Gelée plaisir intime 50ml,"AA0241_000
Sérum fraîcheur, bien-être sexuel pour une souplesse des vulves et une hydratation intenseGelée fondante et stimulante, idéal en cas de sécheresse pour les premières expériences ou en cas de ménopause.  La peau est raffermie, plus souple, plus hydratée. Effet anti-sécheresse immédiat. Les tiraillements, inconforts et échauffements sont réduits et apaisés. Respecte l'équilibre de la zone intime. Sensation de fraîcheur immédiate et durable. Sans alcool, ni parfum ni huiles essentielles. Pour un effet encore plus ""frisson"", placer la préparation au réfrigérateur avant emploi. Convient aussi aux hommes (pénis, gland). Sans rinçage. Une formule minimaliste qui fait la part belle à des matières apicoles nobles et plantes mellifères. 100% de liquides actifs !- propolis blanche de terroir dynamisée, récoltée à moins de 880 km. Brevet n°07-54648.- 8% de miel sauvage de montagne : adoucissant et humectant.- infusion de camomille romaine en biodynamie, et hydrolat de mélisse : tonifient et apaisent.- élixir de la ruche « Gâteau de Miel », qui symbolise l'ouverture et l'acceptation de l'autre.Utilisation : usage externe de la zone intime (vulves, lèvres). Appliquer une noisette de produit sur mains propres puis masser délicatement. - au quotidien : masser 1 à 2 fois/jour. - plaisir ponctuel : appliquer en cas d'échauffement. Flacon en verre recyclable et ré-employable, pompe et capot recyclables.","MELISSA OFFICINALIS FLOWER/LEAF/STEM WATER*, AQUA, MEL*, PROPOLIS EXTRACT*, ANTHEMIS NOBILIS FLOWER EXTRACT*, GLYCERIN**, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, CARRAGEENAN, XANTHAN GUM, GERANIOL, LINALOOL..

Non applicable
Traces de :
GERANIOL, LINALOOL.","Selon l'envie, masser une à deux fois par jour sur peau propre.

Pour usage externe uniquement.","https://www.biocoop.fr/media/catalog/product/2/1/2110322146-3760275575203-autour_du_riz-sauce_nuoc_mam_veggie_200ml-aa0241.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/gelee-plaisir-intime-50ml-aa0241-000.html
Diffuseur électrique Reda+HE orange 10ml,"GA2021_000
9Diffuseurs Reda + 1 huile essentielle Orange offerte et incluse
diffuseurs à ultrasons, c'est-à-dire que les huiles essentielles, versées dans un réservoir d'eau, sont dispersées en microparticules sous forme d'une brume aromatique, absorbable par les voies respiratoires. C'est une méthode dite ""à froid"" permettant de bénéficier pleinement des vertus des huiles essentielles.
Ces appareils sont ""intelligents"" car ils sont dotés d'une sécurité qui consiste à activer automatiquement l'extinction lorsque le niveau d'eau est jugé trop bas ou bien lorsque le réservoir est vide. Autrement dit, aucun risque d'oubli, le diffuseur s'éteint seul !
Conseils d'utilisation : remplir le diffuseur d'eau du robinet (pas d'eau déminéralisée) et verser 2 à 3 gouttes d'huiles essentielles seulement. Brancher l'appareil. Une diffusion de 15 à 20 minutes est suffisante pour parfumer et purifier l'atmosphère d'une pièce.
Matière: Bambou & Verre
Capacité réservoir: 90 ml","1 diffuseur électrique en Bambou + 1 huile essentielle orange 10ml.

Non applicable
Traces de :
Néant.","Placer le diffuseur sur une surface plane et sèche qui ne craint pas l'humidité.

Placer le diffuseur sur une surface plane et sèche qui ne craint pas l'humidité. Tenir hors de portée des enfants. Attention, certaines huiles essentielles sont corrosives et peuvent altérer le bon fonctionnement de l'appareil.","https://www.biocoop.fr/media/catalog/product/1/9/1990148860--galeo-diffuseur_electrique_reda_he_orange_10ml-ga2021.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/diffuseur-electrique-reda-he-orange-10ml-ga2021-000.html
Sève de bouleau fraîche 5L,"FN1001_000
La sève de bouleau Bio fraîchement récoltée par Fée nature dans les montagnes Pyrénéennes, Principalement reconnue pour ses vertus drainante et fortifiante, elle apporte à l'organisme toute la force du printemps et les bienfaits du réveil végétal. Les arbres sont soigneusement sélectionnés parmi des bouleaux sauvages dans des vallées protégées de toute pollution.","Sève de bouleau* (100%).

Non applicable
Traces de :
Néant.","Cure active : boire le matin à jeûn, à raison de 150 à 250ml, pendant 8 jours. Poursuivre si nécessaire avec un verre par jour, le matin à jeun durant 20 jours. Cure douce :  prendre 100  ml, matin et soir durant 20 à 30 jours.
Conditions de conservation
Avant ouverture: à consommer entre +2° et +6° C. Après ouverture : à conserver au réfrigérateur.
Posologie
150 à 250ml par jour.

Ce complément alimentaire ne doit pas être utilisé pour se substituer à une alimentation variée et équilibrée, ni à un mode de vie sain. Ne pas dépasser la dose journalière recommandée. A tenir hors de la portée des jeunes enfants.","https://www.biocoop.fr/media/catalog/product/1/2/1204441870-3770002229002--seve_de_bouleau_fraiche_5l-fn1001.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/seve-de-bouleau-fraiche-5l-fn1001-000.html
Infusion propolis défenses naturelles (20) 20g,"AL4008_000
Cette infusion BIO allie plaisir et bienfaits avec un mélange unique associant propolis, plantes et épices. La reine des prés contribuant aux défenses immunitaires du corps se mêle harmonieusement aux plantes bienfaisantes telles que le romarin, le gingembre, le curcuma et la cannelle. La propolis, sélectionnée pour sa pureté, complète cette formule. Laissez-vous emporter par ses arômes chaleureux et épicés, procurant un réconfort instantané.Format infusette individuelle, facile et pratique au quotidien.","Reine des prés partie aérienne* (34%), gingembre rhizome* (16%), romarin feuille* (14%), curcuma rhizome* (14%), cannelle écorce*, extrait de propolis* (6.5%), poivre noir fruit*, arôme naturel de vanille*.  * Ingrédients issus de l'Agriculture Biologique

Non applicable
Traces de :
Propolis","4x 20 cl par jour, 80°c 3-5mn,
Conditions de conservation
À conserver au sec, à température ambiante (<20°C) et à l'abri de la lumière et de la chaleur.

Ne pas utiliser chez les personnes allergiques aux produits de la ruche. Il est préconisé aux femmes enceintes et allaitantes de prendre un avis médical. Ne doit pas se substituer à une alimentation variée et équilibrée et à un mode de vie sain.  Ne pas dépasser la dose journalière conseillée. À conserver hors de portée des jeunes enfants, et dans un endroit frais et sec.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/2/1/2189557274-3760001823080-propolia-infusion_propolis_defenses_naturelles_20_20g-al4008.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/infusion-propolis-defenses-naturelles-20-20g-al4008-000.html
Philaromal probiotique quotidien sachet (20) 61.56g,"LD2191_000
Notre flore intestinale est constituée de milliards de ""bonnes"" bactéries qui participent au bon fonctionnement de l'organisme. Pour conserver cet équilibre au quotidien, Dietaroma a mis au point Philaromal Microbiotiques Quotidien
- 16 souches sélectionnées pour leur complémentarité.
- 5 milliards de ferments lactiques mis en œuvre lors de la fabrication dont le Lactospore® (Bacillus coagullans), souche particulière dont l'activité reste stable jusqu'à la date de péremption du produit.
- 3 grammes de fibres.","Fibres de gomme d'acacia, Lactospore® (Bacillus coagulans), bactéries lactiques (Bifidobacterium bifidum, Bifidobacterium breve, Bifidobacterium infantis, Bifidobacterium animals lactis, Bifidobacteriumlongum, Bifidobacterium pseudolongum, Lactobacillus acidophilus, Lactobacillus brevis, Lactobacilluscasei, Lactobacillus helveticus, Lactobacillus plantarum, Lactobacillus rhamnosus, Lactobacillus salivarius, Lactococcus lactis, Streptococcus thermophilus, lait)

Lait et produits à base de lait (y compris de lactose)
Traces de :
Néant.","Diluer un sachet dans un verre d'eau tempérée. A prendre de préférence le matin à jeun. Vous pouvez également incorporer la poudre dans un yaourt.
Conditions de conservation
A conserver à l'abri de la chaleur et de la lumière.
Durée de cure
20 jours
Posologie
1 sachet par jour le matin à jeun.

Ne pas dépasser la dose journalière recommandée. Ne se substitue pas à un régime alimentaire équilibré et varié et à un mode de vie sain. Tenir hors de portée des enfants.","https://www.biocoop.fr/media/catalog/product/2/5/2590119159-3460341531620-dietaroma-philaromal_probiotique_quotidien_sachet_20_-ld2191.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/philaromal-probiotique-quotidien-sachet-20-61-56g-ld2191-000.html
Elixir Floral sans alcool Nuit paisible 30ml,"LD2126_000
Pour les personnes de tout âge désireuses d'améliorer la qualité de leur détente et de leur sommeil, ou qui ont des pensées répétitives.","Base sans alcool : Sirop d'érable*, élixirs mères de fleurs * (1%)  de : Aesculus hippocastanum*, Hypericum perforatum*, Lavandula officinalis*, Matricaria chamomilla*, Passiflora incarnata*, Tilia platyphyllos*, Valeriana officinalis*

Non applicable
Traces de :
Néant","Conditions de conservation
Les élixirs floraux sont conditionnés dans des flacons de verre ambrés, avec un compte gouttes. Les élixirs floraux doivent être conservés dans leur conditionnement d'origine, dans un local frais et sec, à l'abri de la lumière et toute source de chaleur et d'ignition.
Posologie
3 à 4 gouttes, 3 à 4 fois par jour, par voie orale.

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut pas se substituer à un régime alimentaire varié.","https://www.biocoop.fr/media/catalog/product/2/3/2374433016-3760102774878-deva-elixir_floral_sans_alcool_nuit_paisible_30ml-ld2126.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/elixir-floral-sans-alcool-nuit-paisible-30ml-ld2126-000.html
Mauve partie aérienne coupée 25g,"PF0178_000
Malva Sylvestris. Origine FRANCE. Utilisée dans le traitement des troubles gastro-intestinaux.","Mauve* partie aérienne coupée*Ingrédients issus de l'Agriculture Biologique.

Non applicable
Traces de :
Néant.","1 cuillère à café par tasse en infusion 15 min. Filtrez et consommez 7 tasses par jour.
Conditions de conservation
Conserver à l'abri de la chaleur, la lumière et l'humidité.

Suivre les conseils d'utilisation.","https://www.biocoop.fr/media/catalog/product/1/1/1156342314-3580258143959-phytofrance-mauve_partie_aerienne_25g-pf0178.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/mauve-partie-aerienne-coupee-25g-pf0178-000.html
HE Lavandin super 10ml,"HE1142_000
L'huile essentielle biologique de Lavandin Super présente des propriétés similaires à celle de la lavande vraie comme celle de lutter contre les angoisses et contre l'insomnie. Le lavandin provient d'un croisement naturel entre les lavandes vraies et les lavandes aspic. Le lavandin produit beaucoup plus d'huile essentielle que la lavande vraie, ce qui explique la différence de prix.
Espèce botanique
Lavandula angustifolia Mill. x Lavandula latifolia Medik.
Chemotype
Linalyl acetate, Linalol.
Partie distillée de la plante
Sommités fleuries","Huile essentielle de Lavandin Super.

Non applicable
Traces de :
Néant.","Prendre 2 gouttes par jour, diluées sur un support neutre (miel, huile végétale ou comprimé neutre). Dose journalière recommandée : 60 mg/jour.
Conditions de conservation
Conserver le flacon bien fermé dans un endroit frais et à l'abri de la lumière.
Température de conservation
15.00 25.00°C

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut en aucun cas remplacer une alimentation équilibrée et variée ainsi qu'un mode de vie sain. Pas d'utilisation prolongée. Tenir hors de portée des enfants.
Contre indication
Ne pas utiliser chez les enfants de moins de 6 ans et les femmes enceintes ou allaitantes. Il est recommandé de prendre conseils auprès d'un professionnel de santé en cas d'antécédent épileptique ou de convulsion.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/3/0/3068452053-3760098405398-de_saint_hilaire-huile_essentielle_lavandin_super-he1142.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/he-lavandin-super-10ml-he1142-000.html
Fleur de Bach Chèvrefeuille N°22 15ml,"LD2067_000
L'élixir floral de Chèvrefeuille développe la capacité à vivre  au présent, dans ""l'ici et maintenant"".
Titre alcoometrique
20 %","Eau de source, brandy*, infusion solaire de fleurs * (0,5%) - Alcool 20% vol.

Non applicable
Traces de :
Néant","Conditions de conservation
Les élixirs floraux sont conditionnés dans des flacons de verre ambrés, avec un compte gouttes. Les élixirs floraux doivent être conservés dans leur conditionnement d'origine, dans un local frais et sec, à l'abri de la lumière et toute source de chaleur et d'ignition.
Posologie
3 à 4 gouttes, 3 à 4 fois par jour, par voie orale.

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut pas se substituer à un régime alimentaire varié.","https://www.biocoop.fr/media/catalog/product/9/5/955007362-3760102775714-deva-fleur_de_bach_chevrefeuille_n22_15ml-ld2067.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/fleur-de-bach-chevrefeuille-n-22-15ml-ld2067-000.html
HE Citronnelle de Ceylan 10 ml,"HE1037_000
L'huile essentielle de citronnelle de Ceylan permet d'éviter les piqûres de moustique en les repoussant en action préventive , mais aussi elle permet de soulager ces piqûres, en ayant un effet adoucissant et calmant sur la peau. La citronnelle de Ceylan peut également aider à soulager le système articulaire : douleurs rhumatismes, tendinite… Associée à d'autres huiles essentielles antalgiques et anti inflammatoires.
Espèce botanique
Cymbopogon winterianus Jowitt ex Bor
Chemotype
Géraniol, Camphène, Citronellol.
Partie distillée de la plante
Parties aériennes.","Huile essentielle Citronnelle de Ceylan*.

Non applicable
Traces de :
Géraniol, Camphène, Citronellol.","Prendre 1 goutte par jour diluée sur un support neutre (miel, huile végétale ou comprimé neutre). Dose journalière recommandée : 30 mg/jour.
Conditions de conservation
Conserver à température ambiante, à l'abri de la lumière et de la chaleur.
Température de conservation
15.00 25.00°C

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut en aucun cas remplacer une alimentation équilibrée et variée ainsi qu'un mode de vie sain. Tenir hors de portée des enfants.
Contre indication
Ne pas utiliser chez les enfants de moins de 6 ans et les femmes enceintes ou allaitantes..
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/1/7/1712596997-3760098415496-distillerie_saint_hilaire_auvergne-he_citronnelle_de_-he1037.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/he-citronnelle-de-ceylan-10-ml-he1037-000.html
Spiruline française AB comprimé (160) 80g,"SC5003_000
Spiruline cultivée, récoltée, séchée et emballée sur le site de production du GAEC Solis Culturae. Naturellement très riche en fibres et en protéines, notre spiruline vous apporte :- acide gamma-linolénique- bêta-carotène (pro-vitamines A)- minéraux & oligo-éléments : fer, magnésium, phosphore, calcium, sodium, zinc, sélenium- phycocynanine (17.5% du produit sec)- vitamines : E et K, groupe B donc B12Garantie 100% spiruline sans aucun excipient, agglomérant ou talc.Pressé à froid.160 comprimés.","Spiruline

Non applicable
Traces de :
Néant","Commencé par 1 à 2 grammes par jour sur une semaine, puis augmenter progressivement jusqu'à 4 ou 5 grammes par jour. Une cure dure 3 mois. Peut se prendre à l'année.
Conditions de conservation
A l'abris de la lumière et de l'humidité.
Température de conservation
5.00 40.00°C

Tenir hors de portée des enfants. Ne pas dépasser la dose journalière recommandée. Déconseillé aux fumeurs.
Ne convient pas aux personnes allergiques à la vitamine K, souffrant d'hémochromatose ou de phénylcétonurie.
Contre indication
Ne convient pas aux personnes allergiques à la vitamine K, souffrant d'hémochromatose ou de phénylcétonurie.","https://www.biocoop.fr/media/catalog/product/8/6/868579362-3760233560494-solis_culturae-spiruline_francaise_ab_comprime_160_80g-sc5003.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/spiruline-francaise-ab-comprime-160-80g-sc5003-000.html
Diffuseur électrique Clava,"GA2016_000
Diffuseurs à ultrasons. Les huiles essentielles, versées dans un réservoir d'eau, sont dispersées en microparticules sous forme d'une brume aromatique, absorbable par les voies respiratoires. C'est une méthode « à froid » permettant de bénéficier pleinement des vertus des huiles essentielles. ! A travers des matériaux nobles tel que le bambou ou la céramique, ces diffuseurs mêlent l'utile à l'agréable pour une décoration moderne et naturelle ! Ces appareils sont « intelligents » car ils sont dotés d'une sécurité qui consiste à activer automatiquement l'extinction lorsque le niveau d'eau est jugé trop bas ou bien lorsque le réservoir est vide. Autrement dit, aucun risque d'oubli, le diffuseur s'éteint seul ! Remplir le diffuseur d'eau du robinet (pas d'eau déminéralisée) et verser 2 à 3 gouttes d'huiles essentielles seulement. Brancher l'appareil. Une diffusion de 15 à 20 minutes est suffisante pour parfumer et purifier l'atmosphère d'une pièce.Entretien :Nettoyer le diffuseur 1 à 2 fois par mois. Pour cela, verser du vinaigre blanc dans le réservoir et laisser reposer jusqu'à disparition du tartre. Bien le rincer. Il est de nouveau prêt à l'emploi.Capacité réservoir: 80mlDiffusion jusqu'à 20m²","Bambou.

Non applicable
Traces de :
Néant.","Placer le diffuseur sur une surface plane et sèche qui ne craint pas l'humidité. Nettoyer le diffuseur 1 à 2 fois par mois. Pour cela, verser du vinaigre blanc dans le réservoir et laisser reposer jusqu'à disparition du tartre. Bien le rincer. Il est de nouveau prêt à l'emploi.
mention_avertissement1
mention_avertissement2","https://www.biocoop.fr/media/catalog/product/3/1/3146695101-3700392177300-galeo-diffuseur_electrique_clava-ga2016.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/diffuseur-electrique-clava-ga2016-000.html
Fleur de Bach Impatiente N°18 15ml,"LD2078_000
L'élixir floral Bio d'Impatiente apporte douceur, patience et indulgence.
Titre alcoometrique
20 %","Eau de source, brandy*, infusion solaire de fleurs * (0,5%) - Alcool 20% vol.

Non applicable
Traces de :
Néant","Conditions de conservation
Les élixirs floraux sont conditionnés dans des flacons de verre ambrés, avec un compte gouttes. Les élixirs floraux doivent être conservés dans leur conditionnement d'origine, dans un local frais et sec, à l'abri de la lumière et toute source de chaleur et d'ignition.
Posologie
3 à 4 gouttes, 3 à 4 fois par jour, par voie orale.

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut pas se substituer à un régime alimentaire varié.","https://www.biocoop.fr/media/catalog/product/2/4/2418432083-3760102775820-deva-fleur_de_bach_impatiente_n18_15ml-ld2078.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/fleur-de-bach-impatiente-n-18-15ml-ld2078-000.html
Fleur de Bach Marronnier blanc N°35 15ml,"LD2079_000
L'élixir floral de Marronnier blanc, calme le mental, favorise la concentration, l'intuition et la créativité.","Eau de source, brandy*, infusion solaire de fleurs * (0,5%) - Alcool 20% vol.

Non applicable
Traces de :
Néant","Conditions de conservation
Les élixirs floraux sont conditionnés dans des flacons de verre ambrés, avec un compte gouttes. Les élixirs floraux doivent être conservés dans leur conditionnement d'origine, dans un local frais et sec, à l'abri de la lumière et toute source de chaleur et d'ignition.
Posologie
3 à 4 gouttes, 3 à 4 fois par jour, par voie orale.

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut pas se substituer à un régime alimentaire varié.","https://www.biocoop.fr/media/catalog/product/1/0/1052390490-3760102775837-deva-fleur_de_bach_marronnier_blanc_n35_15ml-ld2079.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/fleur-de-bach-marronnier-blanc-n-35-15ml-ld2079-000.html
Sel de nigari 150g,"SE4033_000
Le sel de Nigari est un cristal naturel non raffiné de chlorure de magnésium, issu d'une mer ""fossile"" qui couvrait il y a 250 millions d'années, une partie du continent européen. L'intérêt écologique : c'est le seul sel de Nigari produit en Europe, ce qui en fait une alternative « locale » aux sels de Nigari en provenance de Chine ou du Japon. Il est conditionné et emballé en France.  Plusieurs usages : coagulant du soja pour fabriquer le tofu, alternative au sel, préparation d'eau magnésienne etc (Respecter les dosages).  Très pur, il est proposé en emballage doypack refermable (sensible à l'humidité) de 150 gFabrication Europe.","99% Chlorure de Magnésium Hexahydraté.

Non applicable
Traces de :
Néant.","Fabrication du Tofu, alternative au sel, préparation eau magnésienne (dissoudre 20g -2 cuillères à soupe rase- dans un litre d'eau)
Conditions de conservation
Conservation : à l'abri de l'humidité, de la chaleur et de la lumière. Bien refermer le sachet après usage.

Respectez les dosages. Prenez l'avis de votre médecin en cas d'insuffisance rénale.","https://www.biocoop.fr/media/catalog/product/8/9/893059371-3760138836823-ah_table-sel_de_nigari_150g-se4033.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/sel-de-nigari-150g-se4033-000.html
Canna 4+ articulation ampoule (20) 300ml,"FN2014_000
Canna4+ ARTICULATION est composé d'extraits de chanvre(Cannabis sativa), de Cassis (Ribes nigrum), de Harpagophytum (Harpagophytum procumbens) et de Saule blanc (Salix alba).Le cassis favorise le confort articulaire. Sous forme d'extrait fluide aqueux, il est associé au Cannabis, à l'Harpagophytum et au Saule blanc.","Extrait de cannabis sativa 1000 mg*Cassis Bio 500 mg*Harpagophytum Bio 500 mg*Saule blanc Bio 500 mg** équivalent en plante sèches (EPS)Bio: 100 % des ingrédients agricoles sont issus de l'Agriculture Biologique.

Non applicable","Prendre 1 ampoule. Il est conseillé de diluer l'ampoule dans un verre d'eau.
Ce produit est naturel, un léger dépôt peut être présent dans le produit. Agiter l'ampoule avant l'utilisation.
Conditions de conservation
A conserver entre 0°C et +4°C.
Température de conservation
5.00 30.00°C

Déconseillé aux adolescents de moins de 18 ans, aux femmes enceintes et allaitantes, aux personnes sous traitement anticoagulant, aux personnes souffrant d'allergie aux dérivés salicylés et en cas d'ulcères (estomac ou duodénum ou de calculs biliaires.)Usage oral uniquement, ne convient pas en injection.La prise au-delà de trente (30) jours sans interruption est déconseillée.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/3/7/3722283920----fn2014.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/canna-4-articulation-ampoule-20-300ml-fn2014-000.html
HE Sarriette des montagnes 5ml,"HE1152_000
Espèce botanique : Satureja montana. Chemotype : carvacrol, thymol p-cymène. Partie distillée : Sommités fleuries
Espèce botanique
Satureja montana L.
Chemotype
Carvacrol, Paracymene
Partie distillée de la plante
Partie aérienne fleurie","Huile essentielle de Sarriette des montagnes.

Non applicable
Traces de :
Néant.","Prendre 2 gouttes par jour, diluées sur un support neutre (miel, huile végétale ou comprimé neutre). Dose journalière recommandée : 60 mg/jour. Ne pas consommer pur.
Conditions de conservation
Conserver le flacon bien fermé dans un endroit frais et à l'abri de la lumière.
Température de conservation
15.00 25.00°C

Ne pas dépasser la dose journalière recommandée. Ce complément alimentaire ne peut en aucun cas remplacer une alimentation équilibrée et variée ainsi qu'un mode de vie sain. Ne pas utiliser de manière prolongée (pas plus de 14 jours).  Tenir hors de portée des enfants.
Contre indication
Ne pas utiliser chez les enfants de moins de 6 ans et les femmes enceintes ou allaitantes. Déconseillé aux personnes souffrant de pathologies hépatiques. Demandez conseil à un professionnel de santé en cas de troubles gastro-œsophagiens.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/2/1/2107914519-3760098401185-de_saint_hilaire-he_sarriette_des_montagnes_5ml-he1152.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/he-sarriette-des-montagnes-5ml-he1152-000.html
Ginseng immunité ampoule (20) 200ml,"SD1311_000
Soutenez votre vitalité !
Cette formule unique associant 4 Ginsengs et du Guarana riche en caféine vous donnera un coup de boost et soutiendra votre immunité sur le court et le long-terme.
L'Eleuthérocoque, ou Ginseng de Sibérie soutient le système immunitaire.
Surnommé ""Racine de longue vie"" en Corée, le Panax Ginseng est une plante adaptogène reconnue pour sa capacité à contribuer au tonus et à l'énergie, grâce aux ginsénosides qu'il contient. La teneur en ginsénosides augementant en fonction de l'âge du Ginseng, Superdite a sélectionné pour ce produit une racine de Ginseng de 6 ans d'âge.
La Maca, ou Ginseng de Pérou et Le Suma, ou Ginseng Brésilien, traditionnellement utilisés sont deux plantes adaptogènes qui complètent le phytocomplexe.
Le Guarana est une plante dont le fruit rouge vif à graines est riche en caféine.
Gardez la forme grâce au Gins4+ Superdiet !
Quantité journalière pour 1 ampoule de 10ml:
Eleuthérocoque 2000 mg**
Panax Ginseng 550 mg**
dont ginsénosides 20.6 mg***
Maca 150 mg**
Guarana 135 mg**
dont caféine 3 mg****
Ginseng brésilien 100 mg**
**équivalent en plantes sèches
***quantité moyenne selon titrage sur le Ginseng
****quantité moyenne","Eau purifiée - Jus concentré de Pomme*- Extrait sec d'Éleutherocoque* (racine) - Poudre de Maca* (racine) - Extrait sec de Panax ginseng* (racine) titré en ginsénosides - Extrait sec de Ginseng brésilien* (racine) - Extrait sec de Guarana* (graine) titré en caféine. * Ingrédient issu de l'agriculture biologique.

Non applicable
Traces de :
Néant","1 ampoule par jour, pure ou diluée dans l'eau. Agiter vigoureusement l'ampoule avant emploi. Le matin de préférence.
Conditions de conservation
À conserver dans un endroit frais, sec et à l'abri de la lumière.

Réservé à l'adulte. Déconseillé aux femmes enceintes et allaitantes. Contient en moyenne 3 mg de caféine par dose journalière recommandée, déconseillé aux personnes sensibles à ses effets. Ne pas dépasser 200 mg par jour de caféine. Ne pas consommer en cas d'ulcère gastrique ou duodénal, de troubles cardiovasculaires, d'hyperthyroïdie ou de glaucome. Déconseillé en cas de traitement antidiabétique. Consultez votre médecin et/ou pharmacien en cas de prise simultanée d'autres médicaments. Il est déconseillé de prendre le produit avant le coucher. L'utilisation prolongée est déconseillée (2 mois maximum).
Ne pas dépasser la portion recommandée à consommer chaque jour, veiller à avoir une alimentation variée et équilibrée et un mode de vie sain. Tenir hors de la portée des jeunes enfants.
Déconseillé aux femmes enceintes","https://www.biocoop.fr/media/catalog/product/1/4/1448304360-3428881238904-superdiet-ginseng_immunite_ampoule_20_200ml-sd1311.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/ginseng-immunite-ampoule-20-200ml-sd1311-000.html
Guimauve racine 50g,"AR3051_000
3g (2 cuil. à café) par tasse en décoction","Guimauve (100%)

Non applicable
Traces de :
Néant","3g (2 cuil. à café) par tasse en décoction
Conditions de conservation
Date courte : 20 mois. Conserver à moins de 25°c dans des locaux propres, secs et à l'abri de la lumière.

3g (2 cuil. à café) par tasse en décoction","https://www.biocoop.fr/media/catalog/product/1/0/10071553-3417960021872-l_herbier-guimauve_racine_50g-ar3051.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/guimauve-racine-50g-ar3051-000.html
Oranger feuille 25g,"AR0327_000
Citrus aurantium. Origine MAROC. Propriétés sédatives et antispasmodiques, également sudorifiques. Pour calmer les nerfs, apaiser les palpitations et combattre l'insomnie. Feuilles coupées","Feuilles coupées d'Oranger (100%)

Non applicable
Traces de :
Néant","1g (3 feuilles) par tasse en infusion
Conditions de conservation
Date courte : 20 mois. Conserver à moins de 25°c dans des locaux propres, secs et à l'abri de la lumière.
Température de conservation
25.0°C

1g (3 feuilles) par tasse en infusion","https://www.biocoop.fr/media/catalog/product/3/8/3837111985-3417960007005-l_herbier_de_france-oranger_feuille_25g-ar0327.jpeg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265",https://www.biocoop.fr/oranger-feuille-25g-ar0327-000.html
